N,Triton,Torch
1024.0,496.5,512.0
2048.0,555.4,537.2
3072.0,455.1,522.9
4096.0,524.3,520.1
5120.0,450.1,515.2
6144.0,517.4,512.0
7168.0,562.2,462.5
8192.0,553.0,504.1
9216.0,505.0,498.2
10240.0,544.3,512.0
11264.0,563.2,473.0
12288.0,573.2,514.7
13312.0,504.7,510.8
14336.0,505.2,499.7
15360.0,493.5,517.4
